"","battle","u_u","u_ul","u_uu","c_u","c_ul","c_uu","t_u","i_u","c_c","u_c"
"1","AL001",23,NA,NA,65,NA,NA,NA,NA,NA,NA
"2","AL002",20,NA,NA,30,NA,NA,NA,NA,NA,NA
"3","AL003",327,NA,NA,1500,NA,NA,NA,NA,NA,NA
"4","AL004",155,NA,NA,200,NA,NA,NA,NA,NA,NA
"5","AL005",657,NA,NA,741,NA,NA,NA,NA,NA,NA
"6","AL006",775,NA,NA,500,NA,NA,NA,NA,3200,NA
"7","AL007",359,NA,NA,2700,NA,NA,NA,NA,NA,NA
"8","AR001",1384,NA,NA,2000,NA,NA,NA,NA,NA,NA
"9","AR002",160,NA,NA,40,NA,NA,NA,NA,NA,NA
"10","AR003",63,NA,NA,250,NA,NA,NA,NA,NA,NA
"11","AR004",41,NA,NA,45,NA,NA,NA,NA,NA,NA
"12","AR005",1251,NA,NA,1317,NA,NA,NA,NA,NA,NA
"13","AR006",1092,NA,NA,5004,NA,NA,NA,NA,NA,NA
"14","AR007",NA,NA,NA,NA,NA,NA,100,NA,NA,NA
"15","AR008",239,NA,NA,1636,NA,NA,NA,NA,NA,NA
"16","AR009",14,NA,NA,17,NA,NA,NA,NA,NA,NA
"17","AR010",72,NA,NA,64,NA,NA,NA,NA,NA,NA
"18","AR011",56,NA,NA,40,NA,NA,NA,NA,NA,NA
"19","AR012",26,NA,NA,29,NA,NA,NA,NA,NA,NA
"20","AR013",100,NA,NA,50,NA,NA,NA,NA,NA,NA
"21","AR014",301,NA,NA,114,NA,NA,NA,NA,NA,NA
"22","AR015",1500,NA,NA,293,NA,NA,NA,NA,NA,NA
"23","AR016",700,NA,NA,1000,NA,NA,NA,NA,NA,NA
"24","AR017",133,NA,NA,37,NA,NA,NA,NA,NA,NA
"25","CO001",48,NA,NA,NA,NA,NA,NA,150,NA,NA
"26","DC001",373,NA,NA,500,NA,NA,NA,NA,NA,NA
"27","FL001",67,NA,NA,87,NA,NA,NA,NA,NA,NA
"28","FL002",0,NA,NA,0,NA,NA,0,NA,NA,NA
"29","FL003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","FL004",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","FL005",1861,NA,NA,946,NA,NA,NA,NA,NA,NA
"32","FL006",148,NA,NA,25,NA,NA,NA,NA,NA,NA
"33","GA001",1,NA,NA,1,NA,NA,NA,NA,NA,NA
"34","GA002",0,NA,NA,1,NA,NA,NA,NA,NA,NA
"35","GA003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","GA004",16170,NA,NA,18454,NA,NA,NA,NA,NA,NA
"37","GA005",507,NA,NA,221,NA,NA,NA,NA,NA,NA
"38","GA006",289,NA,NA,140,NA,NA,NA,NA,NA,NA
"39","GA007",837,NA,NA,600,NA,NA,NA,NA,NA,NA
"40","GA008",2747,NA,NA,2800,NA,NA,NA,NA,NA,NA
"41","GA009",200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","GA010",665,NA,NA,350,NA,NA,NA,NA,NA,NA
"43","GA011",380,NA,NA,NA,1000,NA,NA,NA,NA,NA
"44","GA012",1600,NA,NA,450,NA,NA,NA,NA,NA,NA
"45","GA013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","GA014",350,NA,NA,1000,NA,NA,NA,NA,NA,NA
"47","GA015",3000,NA,NA,1000,NA,NA,NA,NA,NA,NA
"48","GA016",1710,NA,NA,4796,NA,NA,NA,NA,NA,NA
"49","GA017",3641,NA,NA,8499,NA,NA,NA,NA,NA,NA
"50","GA018",700,NA,NA,4642,NA,NA,NA,NA,NA,NA
"51","GA019",400,NA,NA,225,NA,NA,NA,NA,NA,NA
"52","GA020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","GA021",237,NA,NA,240,NA,NA,NA,NA,NA,NA
"54","GA022",1149,NA,NA,2000,NA,NA,NA,NA,NA,NA
"55","GA023",706,NA,NA,897,NA,NA,NA,NA,NA,NA
"56","GA024",0,NA,NA,0,NA,NA,NA,NA,NA,751
"57","GA025",62,NA,NA,650,NA,NA,NA,NA,NA,NA
"58","GA026",46,NA,NA,600,NA,NA,NA,NA,NA,NA
"59","GA027",190,NA,NA,250,NA,NA,NA,NA,NA,NA
"60","GA028",134,NA,NA,230,NA,NA,NA,NA,NA,NA
"61","ID001",65,NA,NA,NA,NA,NA,NA,250,NA,NA
"62","IN001",360,NA,NA,51,NA,NA,NA,NA,NA,NA
"63","KS001",150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","KS002",103,NA,NA,3,NA,NA,NA,NA,NA,NA
"65","KS003",110,NA,NA,1200,NA,NA,NA,NA,NA,NA
"66","KS004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","KY001",15,NA,NA,5,NA,NA,NA,NA,NA,NA
"68","KY002",43,NA,NA,53,NA,NA,NA,NA,NA,NA
"69","KY003",30,NA,NA,263,NA,NA,NA,NA,NA,NA
"70","KY004",40,NA,NA,91,NA,NA,NA,NA,NA,NA
"71","KY005",27,NA,NA,65,NA,NA,NA,NA,NA,NA
"72","KY006",262,NA,NA,529,NA,NA,NA,NA,NA,NA
"73","KY007",5623,NA,NA,600,NA,NA,NA,NA,NA,NA
"74","KY008",4148,NA,NA,285,NA,NA,NA,NA,NA,NA
"75","KY009",4211,NA,NA,3396,NA,NA,NA,NA,NA,NA
"76","KY010",90,NA,NA,50,NA,NA,NA,NA,NA,NA
"77","KY011",1092,NA,NA,1000,NA,NA,NA,NA,NA,NA
"78","LA001",229,NA,NA,782,NA,NA,NA,NA,NA,NA
