"","battle","source","Battle_source","u_effectives","u_k","u_w","u_kw","u_mc","c_effectives","c_k","c_w","c_kw","c_mc"
"1","VA005","livermore","BULL RUN",28452,481,1011,NA,1216,32232,387,1582,NA,12
"2","MO004","livermore","WILSON'S CREEK",5400,223,721,NA,291,11600,257,900,NA,27
"3","TN002","livermore","FORT DONELSON",27000,500,2108,NA,224,21000,NA,NA,2000,14623
"4","VA010","livermore","WILLIAMSBURG",40768,456,1410,NA,373,31823,NA,NA,1570,133
"5","VA022","livermore","CEDAR MOUNTAIN",8030,314,1445,NA,594,16868,231,1107,NA,NA
"6","MD002","livermore","SOUTH MOUNTAIN",28480,325,1403,NA,85,17852,325,1560,NA,800
"7","MD003","livermore","ANTIETAM",75316,2108,9549,NA,753,51844,2700,9024,NA,2000
"8","KY009","livermore","PERRYVILLE",36940,845,2851,NA,515,16000,510,2635,NA,251
"9","VA028","livermore","FREDERICKSBURG",106007,1284,9600,NA,1769,72497,595,4061,NA,653
"10","MS003","livermore","CHICKASAW BAYOU AND BLUFF",30720,208,1005,NA,563,13792,63,134,NA,10
"11","AR006","livermore","ARKANSAS POST",28944,134,898,NA,29,4564,28,81,NA,4791
"12","VA032","livermore","CHANCELLORSVILLE & FREDERICKSBURG",97382,1575,9594,NA,5676,57352,1665,9081,NA,2018
"13","MS009","livermore","CHAMPION'S HILL",29373,410,1844,NA,187,20000,381,1800,NA,1670
"14","MS011","livermore","VICKSBURG",45556,502,2550,NA,147,22301,NA,NA,6240,NA
"15","SC007","livermore","FORT WAGNER",5264,246,880,NA,389,1785,36,133,NA,5
"16","TN024","livermore","CHATTANOOGA",56359,753,4722,NA,349,46165,361,2160,NA,4146
"17","VA044","livermore","MINE RUN",69643,173,1099,NA,381,44426,110,570,NA,65
"18","LA019","livermore","PLEASANT HILL",12647,150,844,NA,375,14300,NA,NA,1000,500
"19","VA046","livermore","WILDERNESS",101895,2246,12037,NA,3383,61025,NA,NA,7750,NA
"20","VA053","livermore","DREWRY'S BLUFF",15800,390,2380,NA,1390,18025,NA,NA,2860,210
"21","VA062","livermore","COLD HARBOR",107907,NA,NA,12000,NA,NA,NA,NA,NA,NA
"22","VA063","livermore","PETERSBURG",63797,NA,NA,8150,NA,41499,NA,NA,NA,NA
"23","GA015","livermore","KENESAW MOUNTAIN",16225,NA,NA,1999,52,17733,NA,NA,270,172
"24","VA070","livermore","THE MINE",20708,NA,NA,2864,929,11466,NA,NA,NA,NA
"25","VA071","livermore","DEEP BOTTOM",27974,328,1852,NA,721,20008,NA,NA,NA,NA
"26","VA072","livermore","WELDON RAILROAD",20289,198,1105,NA,3152,14787,NA,NA,1200,419
"27","VA119","livermore","WINCHESTER (OPEQUAN)",37711,697,3983,NA,338,17103,276,1827,NA,1818
"28","VA075","livermore","CHAFFIN'S FARM AND FORTS HARRISON AND GILMER",19639,383,2299,NA,645,10836,NA,NA,NA,NA
"29","VA079","livermore","BOYDTON PLANK ROAD",42823,166,1028,NA,564,20324,NA,NA,NA,NA
"30","TN038","livermore","NASHVILLE",49773,387,2562,NA,112,23207,NA,NA,NA,4462
"31","VA083","livermore","HATCHER'S RUN",34517,170,1160,NA,182,13835,NA,NA,NA,NA
"32","VA086","livermore","DINWIDDIE COURTHOUSE AND WHITE OAK ROAD",45247,NA,NA,2198,583,20030,NA,NA,NA,NA
"33","VA089","livermore","PETERSBURG II",63299,625,3189,NA,326,18576,NA,NA,NA,NA
"34","AR001","livermore","PEA RIDGE",11250,203,980,NA,201,14000,NA,NA,600,200
"35","TN003","livermore","SHILOH",62682,1754,8408,NA,2885,40335,1723,8012,NA,959
"36","VA014","livermore","FAIR OAKS",41797,790,3594,NA,647,41816,980,4749,NA,405
"37","VA016","livermore","MECHANICSVILLE",15631,49,207,NA,105,16356,NA,NA,1484,NA
"38","VA017","livermore","GAINES' MILL",34214,894,3107,NA,2836,57018,NA,NA,8751,NA
"39","KY007","livermore","RICHMOND, KY",6500,206,844,NA,4303,6850,78,372,NA,1
"40","MS002","livermore","CORINTH",21147,355,1841,NA,324,22000,473,1997,NA,1763
"41","AR005","livermore","PRAIRIE GROVE, ARK",10000,175,813,NA,263,10000,164,817,NA,336
"42","TN010","livermore","STONE'S RIVER",41400,1677,7543,NA,3686,34732,1294,7945,NA,2500
"43","PA002","livermore","GETTYSBURG",83289,3155,14529,NA,5365,75054,3903,18735,NA,5425
