battle,lat,long
AL001,34.3096,-87.011
AL002,34.8033,-86.9722
AL003,30.241,-88.053
AL004,34.614,-86.986
AL005,30.6843,-87.9164
AL006,30.7424,-87.927
AL007,32.424,-87.0237
AL008,34.90936,-86.98814
AR001,36.4532,-94.0158
AR002,34.3715467,-91.126083
AR003,35.0365,-91.293
AR004,35.9066,-94.3998
AR005,35.993056,-94.307778
AR006,34.021,-91.349
AR007,36.4773,-90.1588
AR008,34.3903,-90.8697
AR009,35.1785,-94.3106
AR010,34.7154,-92.129
AR011,34.229957,-92.003455
AR012,33.9306,-93.3572
AR013,33.6611,-93.3008
AR014,33.650781,-93.030681
AR015,33.7911,-92.2575
AR016,34.2131,-92.5472
AR017,33.268547,-91.192703
AR018,34.843581,-92.122061
DC001,38.9641,-77.0288
FL001,30.3242,-87.2817
FL002,27.9415,-82.4559
FL003,30.3852,-81.4998
FL004,28.0155,-82.4644
FL005,30.2142,-82.3886
FL006,30.2839,-84.1519
GA001,32.0273,-80.891
GA002,32.02,-81.44
GA003,34.7557,-85.368
GA004,34.9176,-85.2606
GA005,34.9112,-85.1015
GA006,34.8031,-85.0124
GA007,34.7411,-85.0157
GA008,34.5815,-84.9385
GA009,34.4083,-84.9389
GA010,33.961,-84.7875
GA011,33.9127,-84.828
GA012,33.975,-84.759
GA013,33.9531,-84.5499
GA014,33.94,-84.58
GA015,33.9363,-84.5979
GA016,33.8109,-84.4038
GA017,33.7459,-84.3488
GA018,33.7528,-84.4392
GA019,33.7209,-84.4704
GA020,34.7889,-84.9807
GA021,33.4441,-84.3084
GA022,33.5307,-84.3621
GA023,34.116,-84.716
GA025,32.8668,-83.4695
GA026,32.8991,-82.0255
GA027,33.08972,-82.01583
GA028,31.8888,-81.1941
IN001,38.199,-86.129
KS002,37.0308,-94.735
KS003,38.141,-94.7246
KS004,38.2552,-94.6783
KY001,36.8611,-83.8794
KY002,37.2634,-84.1996
KY003,37.5956,-82.6733
KY004,37.2498,-85.8935
KY005,37.6507,-82.8147
KY006,37.0562,-84.7383
KY007,37.6848,-84.2594
KY008,37.2622,-85.8901
KY009,37.6752,-84.9711
KY010,37.0931,-88.6058
KY011,38.407,-84.3056
LA001,29.3573,-89.4594
LA002,29.9575,-90.0631
LA003,30.451,-91.1676
LA004,30.1,-90.99
LA005,29.8604,-90.9811
LA006,29.7101,-91.351
LA007,29.8116,-91.4615
LA008,30.1955,-92.0143
LA009,30.69,-91.206
LA010,30.6939,-91.2764
LA011,32.44,-91.1
LA012,29.7668,-90.7646
LA013,30.1083,-90.9914
LA014,32.7432,-91.1791
LA015,30.0865,-91.0295
LA016,30.6834,-91.6596
LA017,31.1838,-92.0544
LA018,32.0121,-93.6652
LA019,31.851,-93.51
LA020,31.941,-93.289
LA021,31.498,-92.857
LA022,31.055,-92.0478
LA023,30.9985,-91.8668
